thermal_inertia,crater_fraction,rms_slope_deg
360.0,0.75,42.43788432490509
350.0,0.77,43.0
350.0,0.77,43.0
350.0,0.77,43.0
350.0,0.77,43.0
360.0,0.75,42.43788432490509
350.0,0.77,43.0
350.0,0.77,43.0
350.0,0.77,43.0
350.0,0.77,43.0
350.0,0.77,43.0
350.0,0.77,43.0
300.0,0.88,45.96893360893699
350.0,0.77,43.0
350.0,0.77,43.0
340.0,0.79,43.554861657752674
340.0,0.79,43.554861657752674
350.0,0.77,43.0
350.0,0.77,43.0
350.0,0.77,43.0
360.0,0.75,42.43788432490509
350.0,0.77,43.0
360.0,0.75,42.43788432490509
340.0,0.79,43.554861657752674
360.0,0.75,42.43788432490509
370.0,0.73,41.86822245985673
350.0,0.77,43.0
350.0,0.77,43.0
350.0,0.77,43.0
360.0,0.75,42.43788432490509
410.0,0.65,39.50752024417827
300.0,0.88,45.96893360893699
350.0,0.77,43.0
340.0,0.79,43.554861657752674
350.0,0.77,43.0
340.0,0.79,43.554861657752674
390.0,0.69,40.70498868561572
350.0,0.77,43.0
340.0,0.79,43.554861657752674
350.0,0.77,43.0
360.0,0.75,42.43788432490509
350.0,0.77,43.0
350.0,0.77,43.0
310.0,0.86,45.443557113378375
360.0,0.75,42.43788432490509
400.0,0.67,40.11072337754743
340.0,0.79,43.554861657752674
400.0,0.67,40.11072337754743
340.0,0.79,43.554861657752674
400.0,0.67,40.11072337754743
400.0,0.67,40.11072337754743
350.0,0.77,43.0
350.0,0.77,43.0
350.0,0.77,43.0
350.0,0.77,43.0
340.0,0.79,43.554861657752674
410.0,0.65,39.50752024417827
350.0,0.77,43.0
350.0,0.77,43.0
340.0,0.79,43.554861657752674
340.0,0.79,43.554861657752674
350.0,0.77,43.0
350.0,0.77,43.0
400.0,0.67,40.11072337754743
360.0,0.75,42.43788432490509
340.0,0.79,43.554861657752674
350.0,0.77,43.0
360.0,0.75,42.43788432490509
310.0,0.86,45.443557113378375
340.0,0.79,43.554861657752674
360.0,0.75,42.43788432490509
360.0,0.75,42.43788432490509
350.0,0.77,43.0
350.0,0.77,43.0
350.0,0.77,43.0
350.0,0.77,43.0
370.0,0.73,41.86822245985673
310.0,0.86,45.443557113378375
380.0,0.71,41.290702075916286
350.0,0.77,43.0
340.0,0.79,43.554861657752674
420.0,0.63,38.894963450531506
400.0,0.67,40.11072337754743
350.0,0.77,43.0
340.0,0.79,43.554861657752674
300.0,0.88,45.96893360893699
350.0,0.77,43.0
390.0,0.69,40.70498868561572
350.0,0.77,43.0
360.0,0.75,42.43788432490509
350.0,0.77,43.0
350.0,0.77,43.0
340.0,0.79,43.554861657752674
350.0,0.77,43.0
400.0,0.67,40.11072337754743
350.0,0.77,43.0
350.0,0.77,43.0
340.0,0.79,43.554861657752674
350.0,0.77,43.0
370.0,0.73,41.86822245985673
