thermal_inertia,phase_shift,selection_metric,selection_score,mae,mae_percent,rmse,rmse_percent,chi2_diagnostic
100.0,0.0,mae,5.261923635525376e-05,5.261923635525376e-05,46.84175452633023,5.6113578221487566e-05,49.95242498198119,3551795.929700883
110.0,0.0,mae,4.4654033855026905e-05,4.4654033855026905e-05,39.751114560573946,4.836367723643458e-05,43.05344687643954,2635770.529135444
120.0,0.0,mae,3.725689229945643e-05,3.725689229945643e-05,33.166163638762384,4.125558647819475e-05,36.72580958044326,1915801.4741402918
130.0,0.0,mae,3.0435366475787443e-05,3.0435366475787443e-05,27.093627048340704,3.477136268395719e-05,30.953539963817796,1359329.540612571
140.0,0.0,mae,2.462740912174583e-05,2.462740912174583e-05,21.923371234655782,2.89159978985748e-05,25.741081955357643,939082.857370143
150.0,0.0,mae,1.9725281383899293e-05,1.9725281383899293e-05,17.55948684449406,2.3733401005367104e-05,21.127523335054367,632313.6236448281
160.0,0.0,mae,1.5598725174356798e-05,1.5598725174356798e-05,13.886017854912389,1.9330721995575335e-05,17.20824924976442,419943.83610611147
170.0,0.0,mae,1.2172316540857182e-05,1.2172316540857182e-05,10.835821705472021,1.591465361356058e-05,14.16725801387552,285994.1556632443
180.0,0.0,mae,9.990800246433098e-06,9.990800246433098e-06,8.893831326350913,1.3793222033580117e-05,12.278755173527326,217042.20147306798
190.0,0.0,mae,1.0214608853635268e-05,1.0214608853635268e-05,9.093066217725333,1.3216442964858175e-05,11.765305237260796,201811.64130765153
200.0,0.0,mae,1.193199554808914e-05,1.193199554808914e-05,10.621887453846558,1.4077592225088762e-05,12.53190211422639,230812.25503311807
210.0,0.0,mae,1.3986736726595238e-05,1.3986736726595238e-05,12.451022358977413,1.5928895676310837e-05,14.179936327996085,296060.8808573043
220.0,0.0,mae,1.6256075235724912e-05,1.6256075235724912e-05,14.471192257759817,1.8314114109967133e-05,16.303262778549005,390841.4676507438
230.0,0.0,mae,1.8662979928959255e-05,1.8662979928959255e-05,16.6138238620571,2.0933576230475026e-05,18.63511345025873,509489.5022462244
240.0,0.0,mae,2.1304664636098105e-05,2.1304664636098105e-05,18.965457126978162,2.362153779283584e-05,21.027942468723662,647271.0560134671
250.0,0.0,mae,2.4183000836329343e-05,2.4183000836329343e-05,21.527758047219855,2.6289412157045484e-05,23.40288982127908,800149.8863174436
260.0,0.0,mae,2.7113861835151658e-05,2.7113861835151658e-05,24.136816653292204,2.8891570048700397e-05,25.719336232183373,964772.3010553229
