thermal_inertia,phase_shift,chi2
0.0,0.0,38715534.18397656
10.0,0.0,30527529.587464772
20.0,0.0,24855148.045480333
30.0,0.0,19984052.915294275
40.0,0.0,16008083.089266399
50.0,0.0,12755705.629723389
60.0,0.0,10094816.13759339
70.0,0.0,7921679.553790319
80.0,0.0,6152910.305721672
90.0,0.0,4720517.897963062
100.0,0.0,3568577.205663108
110.0,0.0,2650681.837247608
120.0,0.0,1928200.3096075812
130.0,0.0,1368915.661580665
140.0,0.0,945861.6154037965
150.0,0.0,636426.0915552806
160.0,0.0,421623.3045961093
170.0,0.0,285504.84887687897
180.0,0.0,214651.03942545777
190.0,0.0,197791.4816532315
200.0,0.0,225412.43331362438
210.0,0.0,289507.36061072873
220.0,0.0,383339.50801761704
230.0,0.0,501219.57048588817
240.0,0.0,638373.8890820899
250.0,0.0,790766.3268269182
260.0,0.0,955034.0491928133
270.0,0.0,1128314.0885040723
280.0,0.0,1308231.9300967082
290.0,0.0,1492808.7568777457
300.0,0.0,1680365.9094444108
310.0,0.0,1869522.7427118975
320.0,0.0,2059128.214919027
330.0,0.0,2248229.412780414
340.0,0.0,2436052.6551715666
350.0,0.0,2621954.9615603536
360.0,0.0,2805428.3005785663
370.0,0.0,2986059.4310062625
380.0,0.0,3163523.467103367
390.0,0.0,3337569.3361197887
400.0,0.0,3508006.445411683
410.0,0.0,3674699.6898253215
420.0,0.0,3837548.2712168717
430.0,0.0,3996499.411024339
440.0,0.0,4151524.7548409165
450.0,0.0,4302618.319926801
460.0,0.0,4449799.843081239
470.0,0.0,4593103.8509366065
480.0,0.0,4732579.075563146
490.0,0.0,4868284.901821027
500.0,0.0,5000289.810620815
510.0,0.0,5128668.6524099205
520.0,0.0,5253503.688265561
530.0,0.0,5374878.801836737
540.0,0.0,5492881.37778106
550.0,0.0,5607600.746125582
560.0,0.0,5719127.17203786
570.0,0.0,5827551.024814922
580.0,0.0,5932963.486284992
590.0,0.0,6035453.790616295
600.0,0.0,6135110.855299139
